algorithm,dataset,size,batch,run_in_batch,seed,runs,runtime,emissions_per_run,cpu_energy_per_run,ram_energy_per_run,energy_consumed_per_run
tim_sort,reverse_sorted,10000,0,2,44,18226,0.00010973815006035594,4.205429527579968e-12,7.639415624199995e-10,3.041433573222514e-10,1.0680849197422508e-09
tim_sort,unsorted,10000,0,2,44,1724,0.0011606245493039709,4.448094997254798e-11,8.08044330852009e-09,3.2167218371356683e-09,1.1297165145655757e-08
tim_sort,reverse_sorted,1000,0,2,44,285511,7.0049892403445245e-06,2.684708624025883e-13,4.876996797457303e-11,1.9415618691864963e-11,6.8185586666438e-11
tim_sort,unsorted,1000,0,2,44,31121,6.426722524982831e-05,2.4630375580168578e-12,4.474239518510257e-10,1.781324283531271e-10,6.255563802041528e-10
insertion_sort,unsorted,1000,0,2,44,170,0.011794679717647395,4.5205229613407164e-10,8.212065661764832e-08,3.269050292483647e-08,1.1481115954248478e-07
quick_sort,almost_sorted,1000,0,2,44,2292,0.0008728537875218233,3.3450722164503064e-11,6.076546584133331e-09,2.419187719362068e-09,8.495734303495397e-09
quick_sort,reverse_sorted,10000,0,2,44,152,0.013159515138157548,5.03066836198318e-10,9.16959556834815e-08,3.607175456871488e-08,1.2776771025219637e-07
merge_sort,sorted,10000,0,2,44,172,0.011690160441860319,4.480485840295449e-10,8.139336377584071e-08,3.240094255491154e-08,1.1379430633075222e-07
bubble_sort,sorted,10000,0,2,44,1,2.1227991320000683,8.106551811703742e-08,1.4781071131944638e-05,5.807755013889152e-06,2.0588826145833787e-05
merge_sort,sorted,1000,0,2,44,2091,0.0009567904366331851,3.667207588875361e-11,6.6624619799135885e-09,2.6514240275784994e-09,9.313886007492089e-09
insertion_sort,almost_sorted,1000,0,2,44,172,0.011631450488371732,4.4577745110558205e-10,8.09863358769376e-08,3.2231153552971045e-08,1.1321748942990865e-07
merge_sort,almost_sorted,1000,0,2,44,1855,0.0010781952690026959,4.132467346099959e-11,7.507739637616166e-09,2.9878019586701976e-09,1.0495541596286362e-08
quick_sort,sorted,1000,0,2,44,2333,0.0008575715087869913,3.287144957538965e-11,5.972288660284824e-09,2.3763233783397816e-09,8.348612038624603e-09
bubble_sort,reverse_sorted,10000,0,2,44,1,4.452689418999967,1.7027871040782328e-07,3.095957874305574e-05,1.2287400322222514e-05,4.324697906527825e-05
merge_sort,reverse_sorted,10000,0,2,44,168,0.011907716833332773,4.5638424235254467e-10,8.291644758597671e-08,3.299492928240582e-08,1.1591137686838252e-07
bubble_sort,sorted,1000,0,2,44,115,0.01741996852173859,6.67606943978883e-10,1.2128405501208134e-07,4.8273157753623555e-08,1.695572127657049e-07
quick_sort,almost_sorted,10000,0,2,44,186,0.010768847607526475,4.1270029315727595e-10,7.497500332287916e-08,2.984162874850692e-08,1.0481663207138608e-07
quick_sort,reverse_sorted,1000,0,2,44,2083,0.0009605434205472921,3.6820372186325506e-11,6.6898715694512376e-09,2.661678376540208e-09,9.351549945991446e-09
insertion_sort,almost_sorted,10000,0,3,45,2,1.4758446260000255,5.65075194835035e-08,1.0268656357639196e-05,4.082988109722249e-06,1.4351644467361445e-05
merge_sort,almost_sorted,10000,0,3,45,144,0.013890758340278038,5.32316710831327e-10,9.673075733024956e-08,3.8465766030092315e-08,1.3519652336034188e-07
merge_sort,sorted,10000,0,3,45,183,0.010955177207650622,4.198805613102111e-10,7.628326882210083e-08,3.035699055859099e-08,1.066402593806918e-07
insertion_sort,reverse_sorted,1000,0,3,45,159,0.012648731232704175,4.84743941666316e-10,8.807664028650786e-08,3.503746509433998e-08,1.2311410538084786e-07
quick_sort,unsorted,1000,0,3,45,1637,0.0012218378405620047,4.682750440362227e-11,8.507483400359519e-09,3.3856540198874318e-09,1.1893137420246953e-08
quick_sort,almost_sorted,1000,0,3,45,2122,0.000942729401036712,3.6097317976908154e-11,6.5667164591843244e-09,2.6011939103571886e-09,9.167910369541512e-09
insertion_sort,almost_sorted,1000,0,3,45,161,0.012476746894410144,4.783444453070244e-10,8.69383657694929e-08,3.455041085231183e-08,1.214887766218047e-07
bubble_sort,unsorted,10000,0,3,45,1,3.6416904170000635,1.3932839186253516e-07,2.5338257881943583e-05,1.004803340277773e-05,3.538629128472132e-05
tim_sort,almost_sorted,1000,0,3,45,153132,1.306064992947227e-05,5.006145878625784e-13,9.097427165234684e-11,3.6170622440480035e-11,1.271448940928269e-10
merge_sort,unsorted,1000,0,3,45,1458,0.0013722603058985148,5.2587997401335e-11,9.55646378219799e-09,3.799709853680994e-09,1.3356173635878985e-08
merge_sort,sorted,1000,0,3,45,1937,0.0010328836726897774,3.950771829796476e-11,7.194839184305782e-09,2.8392364911375107e-09,1.0034075675443294e-08
merge_sort,almost_sorted,1000,0,3,45,1857,0.0010773001464728222,4.129882027473292e-11,7.504127344731778e-09,2.9848481212229216e-09,1.0488975465954701e-08
merge_sort,unsorted,10000,0,3,45,117,0.017197414811965586,6.593567888307545e-10,1.198191847103472e-07,4.764267340930789e-08,1.6746185811965503e-07
insertion_sort,unsorted,1000,0,3,45,160,0.012580142443750475,4.823880638779214e-10,8.766623190104263e-08,3.4849533281250525e-08,1.2251576518229314e-07
quick_sort,reverse_sorted,10000,0,3,45,169,0.011855857408284211,4.544283555045327e-10,8.256502005260124e-08,3.2849605358318187e-08,1.1541462541091941e-07
insertion_sort,unsorted,10000,0,3,45,2,1.5058929625000133,5.7655889284511225e-08,1.0476329715277505e-05,4.16697496388865e-06,1.4643304679166159e-05
bubble_sort,almost_sorted,10000,0,3,45,1,2.524780832000033,9.639469814197774e-08,1.7576010187500263e-05,6.906084388888998e-06,2.448209457638926e-05
quick_sort,sorted,10000,0,3,45,176,0.011379563625000215,4.3564305703577417e-10,7.924275248579266e-08,3.1400827809341787e-08,1.1064358029513445e-07
tim_sort,almost_sorted,10000,0,3,45,12042,0.00016608742625808965,6.365253468029965e-12,1.1564912741746737e-09,4.601405573548321e-10,1.6166318315295059e-09
